Events
100
Subject,Context,Name,Time (s),Description
HC032A,Left,Foot Strike,2.33,The instant the heel strikes the ground
HC032A,Left,Foot Strike,1.21,The instant the heel strikes the ground
HC032A,Left,Foot Strike,3.34,The instant the heel strikes the ground
HC032A,Left,Foot Off,2.96,The instant the toe leaves the ground
HC032A,Left,Foot Off,0.8,The instant the toe leaves the ground
HC032A,Left,Foot Off,1.89,The instant the toe leaves the ground
HC032A,Right,Foot Strike,1.76,The instant the heel strikes the ground
HC032A,Right,Foot Strike,0.69,The instant the heel strikes the ground
HC032A,Right,Foot Strike,2.83,The instant the heel strikes the ground
HC032A,Right,Foot Strike,3.88,The instant the heel strikes the ground
HC032A,Right,Foot Off,2.43,The instant the toe leaves the ground
HC032A,Right,Foot Off,1.32,The instant the toe leaves the ground
HC032A,Right,Foot Off,3.49,The instant the toe leaves the ground

Devices
1000
,,Imported Force Plate - Force,,,Imported Force Plate - Moment,,,Imported Force Plate - CoP,,,Imported Force Plate - Force,,,Imported Force Plate - Moment,,,Imported Force Plate - CoP,,,Imported Analog Device - Voltage,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,L Rect,R Rect,L Hams,R Hams,L Gast,R Gast,L Tib Ant,R Tib Ant,L Spare,R Spare,L Tib Post,R Tib Post
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V
59,9,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00236511,-0.00106812,0.00862122,-0.00167847,0.338707,-0.000991821,0.0263977,-0.00232697,0.00282288,0.001297,0.000839233,0.00144958
60,0,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0,-0.00156403,0.00106812,-0.00167847,0.306244,-0.000953674,-0.0418854,-0.000801086,0.000228882,0.000534058,0.000152588,0.000419617
60,1,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00591278,-0.000991821,-0.00102997,-0.00453949,0.0782394,-0.00141144,-0.0100327,-0.000915527,0.000572205,0.000762939,0.000267029,0.000686646
60,2,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.0025177,-0.0012207,0,-0.0018692,-0.103836,-0.00106812,0.00827789,-0.000762939,0.000572205,0.00038147,0.000152588,0.000457764
60,3,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00495911,-0.00118256,0.0101471,-0.00183105,-0.233879,-0.000915527,0.0019455,-0.00144958,0.000267029,0.000801086,0.000228882,0.000457764
60,4,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00259399,-0.000991821,0.0131989,-0.00202179,-0.375175,-0.000419617,-0.028801,-0.00087738,0.000419617,0.000801086,0.000190735,0.000495911
60,5,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00144958,-0.00114441,0.0167847,-0.00148773,-0.291901,-0.00125885,-0.0338745,-0.000724792,0.000724792,0.00244141,0.000419617,0.000648499
60,6,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00328064,-0.000991821,0.0133896,-0.00137329,-0.228195,-0.000610352,-0.0456238,-0.000801086,0.0018692,0.00255585,0.00167847,0.00164032
60,7,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00328064,-0.00114441,0.014534,-0.00167847,-0.180473,-0.000991821,-0.0463867,-0.00228882,0.000419617,0.000762939,0.00247955,3.8147e-005
60,8,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00610352,-0.000915527,0.0190353,-0.00141144,-0.19825,-0.00125885,-0.0564957,-0.000915527,0.000991821,0.00102997,0.000839233,0.000915527
60,9,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.000572205,-0.000991821,0.0308609,-0.00171661,-0.186615,-0.00118256,-0.04673,-0.000724792,0.00156403,0.00167847,0.00106812,0.00167847
61,0,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00576019,-0.000953674,0.0198364,-0.00156403,-0.0449371,-0.00141144,-0.0222778,-0.000915527,0.00263214,0.00102997,0.00183105,0.001297
61,1,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00366211,-0.00125885,0.00888824,-0.00202179,-0.0682449,-0.00102997,-0.00450134,-0.000762939,0.000152588,0.000572205,0.000228882,0.000343323
61,2,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00461578,-0.00118256,0.00778198,-0.0019455,-0.149956,-0.00114441,0.0193405,-0.00102997,0.00114441,0.00156403,0.00087738,0.000762939
61,3,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00270844,-0.001297,0.00160217,-0.000686646,-0.136642,-0.00324249,0.0337219,-0.00106812,0.000991821,0.00110626,0.00205994,0.00457764
61,4,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00312805,-0.00114441,-0.000686646,-0.00175476,-0.0824738,-0.00232697,0.0333405,-0.00114441,0.00240326,0.000686646,0.000267029,0.00385284
61,5,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00144958,-0.00125885,-0.000152588,-0.00205994,0.0196457,-0.00118256,0.0430679,-0.000724792,0.000267029,0.000534058,0,0.00305176
61,6,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.000762939,-0.00114441,0.00846863,-0.00167847,0.110855,-0.00102997,0.0297546,-0.000839233,0.00160217,0.00453949,0.00087738,0.0044632
